Model_masked,Category,Part_Family,count,share
AAA6,Others,Fasteners / Hardware,3,0.13636363636363635
AAA6,Others,Not Specified,9,0.4090909090909091
AAA6,Others,Oil Pump / Element,2,0.09090909090909091
AAA6,Others,Other Parts,5,0.22727272727272727
AAA6,Others,Pressure Gauge,1,0.045454545454545456
AAA6,Others,Solenoid Valve / Coil,1,0.045454545454545456
AAA6,Shaft Seal,Major Mechanical Parts,1,0.03125
AAA6,Shaft Seal,Not Specified,3,0.09375
AAA6,Shaft Seal,Piston / Liner / Ring Set,1,0.03125
AAA6,Shaft Seal,Shaft Seal / O-ring,27,0.84375
AAA6,Sound & Vibration,Buffer Spring,4,0.043478260869565216
AAA6,Sound & Vibration,Delivery / Discharge Valve,3,0.03260869565217391
AAA6,Sound & Vibration,Fasteners / Hardware,1,0.010869565217391304
AAA6,Sound & Vibration,Gaskets,1,0.010869565217391304
AAA6,Sound & Vibration,Major Mechanical Parts,2,0.021739130434782608
AAA6,Sound & Vibration,Not Specified,9,0.09782608695652174
AAA6,Sound & Vibration,Oil Pump / Element,1,0.010869565217391304
AAA6,Sound & Vibration,Other Parts,4,0.043478260869565216
AAA6,Sound & Vibration,Piston / Liner / Ring Set,65,0.7065217391304348
AAA6,Sound & Vibration,Shaft Seal / O-ring,2,0.021739130434782608
AAA6,Valves & Solenoids,Delivery / Discharge Valve,8,0.20512820512820512
AAA6,Valves & Solenoids,K5 Valve,3,0.07692307692307693
AAA6,Valves & Solenoids,Not Specified,2,0.05128205128205128
AAA6,Valves & Solenoids,Other Parts,8,0.20512820512820512
AAA6,Valves & Solenoids,Piston / Liner / Ring Set,3,0.07692307692307693
AAA6,Valves & Solenoids,Solenoid Valve / Coil,13,0.3333333333333333
AAA6,Valves & Solenoids,Stop Valve,2,0.05128205128205128
AAA63,Cylinder & Overheating,Delivery / Discharge Valve,3,0.42857142857142855
AAA63,Cylinder & Overheating,Not Specified,1,0.14285714285714285
AAA63,Cylinder & Overheating,Other Parts,1,0.14285714285714285
AAA63,Cylinder & Overheating,Piston / Liner / Ring Set,2,0.2857142857142857
AAA63,Electrical & Instruments,Pressure Gauge,2,1.0
AAA63,Loading & Unloading,Solenoid Valve / Coil,2,1.0
AAA63,Oil Consumption & Carryover,ORV (Oil Return Valve),2,0.13333333333333333
AAA63,Oil Consumption & Carryover,Piston / Liner / Ring Set,13,0.8666666666666667
AAA63,Oil Pump,Oil Pump / Element,4,1.0
